Feature_ID,Feature_Name,Feature_Description
F19,WisDM Remote Management,"WisDM provides cloud-based remote management capabilities, enabling remote configuration, OTAA updates, and scalable management of the gateway."
F20,Built-in Network Server,"The gateway includes a built-in LoRaWAN network server (supporting v1.0.3), simplifying deployment and management, especially in scenarios where a separate network server is not readily available."
F21,LoRa Frame Filtering,"The gateway supports LoRa frame filtering, including node whitelisting in Packet Forwarder mode, enhancing security and reducing unwanted traffic."
F22,MQTT v3.1 Bridging with TLS Encryption,"Secure MQTT v3.1 bridging ensures secure communication with other systems and applications, protecting data integrity and confidentiality."
F23,Optional Fine Timestamping,"The gateway offers optional fine timestamping for precise time synchronization of received LoRaWAN data, improving data analysis and accuracy."
F24,LoRa Frame Buffering,"The gateway buffers LoRa frames in Packet Forwarder mode during network server outages, preventing data loss and ensuring data integrity."
F25,9~24V DC Power Input,"The gateway supports a 9-24V DC power input, offering flexibility in power supply options and compatibility with various power sources."
F26,RAK Solar Battery Kit Compatibility,"The gateway is compatible with the RAK Solar Battery Kit, providing an alternative power source for extended operation in remote locations."
F27,External Antennas,"External antennas are provided for LoRa, Wi-Fi, GPS, and LTE (optional), allowing for optimized signal reception and transmission."
F28,IP67 Unify Enclosure,"A weatherproof and flame-retardant enclosure made of UV-stabilized ABS plastic, protecting internal components from dust and water.  The design integrates LoRa, LTE, Wi-Fi, and GPS antennas within the enclosure."
F29,LTE Backhaul,"Supports cellular connectivity via LTE Cat 1 for reliable and wide-area network backhaul, providing an alternative to Wi-Fi in areas with limited or unreliable Wi-Fi coverage."
F30,Internal Antennas,"Integrated antennas for LoRa, LTE, Wi-Fi, and GPS, simplifying installation and reducing the risk of damage or theft compared to external antennas."
F31,9~36V DC Power Supply,"Supports a wide range of DC power input voltages (9-36V), offering flexibility in power source selection and compatibility with various power systems, including the RAK Solar Battery Kit."
F32,Listen Before Talk,A mechanism to reduce collisions and improve network efficiency by allowing nodes to check for channel activity before transmitting.
F33,IP67/NEMA-6 Industrial-Grade Enclosure,"The gateway is housed in an IP67/NEMA-6 rated enclosure, providing robust protection against dust, water, and other environmental factors, ensuring reliable operation in harsh outdoor conditions."
F34,Dual LoRa Concentrators,"The gateway incorporates two LoRa concentrators, enabling support for up to 16 LoRa channels, significantly increasing capacity and scalability for large-scale LoRaWAN deployments."
F35,"Internal Antennas for Wi-Fi, GPS, and LTE","Integrated internal antennas for Wi-Fi, GPS, and LTE (on RAK7289CV2) streamline installation and improve aesthetics, while maintaining strong signal reception."
F36,Electricity Monitoring (with optional Solar Kit),"The gateway provides monitoring capabilities for power consumption, allowing for efficient management of power resources, especially when used with the optional RAK Solar Battery Kit."
F37,Dying-gasp (optional),"Optional dying-gasp functionality ensures that critical data is transmitted even during power failure, preventing data loss in critical situations."
F38,Built-in Network Server (full LoRaWAN support v1.0.3),"The gateway includes a built-in LoRaWAN network server, simplifying network management and enabling local network operation without the need for an external server."
F39,Listen Before Talk (optional),Optional Listen Before Talk (LBT) functionality helps avoid collisions and improves network efficiency in environments with high LoRa traffic.
F40,2.4 GHz Wi-Fi AP for Easy Configuration,The gateway includes a built-in 2.4 GHz Wi-Fi access point (AP) that simplifies initial configuration.  Users can connect to the gateway's Wi-Fi network to access its web interface and configure settings without needing a pre-existing network connection.
F41,Breathing Light for Visual Monitoring,"A breathing LED provides visual feedback on the gateway's operational status.  The light's pattern can indicate various conditions, such as power status, network connectivity, and data transmission."
F42,SD Card for Log Backup and LoRa Frame Buffering,"An SD card slot allows for local storage of logs and LoRaWAN frames. This feature provides redundancy in case of backhaul failure, ensuring data is preserved and available for later retrieval."
F43,Optional LTE Cat 4 Network (RAK7268CV2),"The RAK7268CV2 model offers optional LTE Cat 4 cellular connectivity, providing a backup or primary uplink for remote deployments or areas with limited or unreliable wired network access."
F44,RP-SMA LoRa Antenna Connector,"The gateway uses an RP-SMA connector for the LoRa antenna, allowing for easy replacement or upgrade of the antenna to optimize performance in different environments."
F45,Multi-Backhaul Options,"The gateway supports multiple backhaul options, including Ethernet, Wi-Fi, and LTE (in the RAK7268CV2 model), providing redundancy and flexibility in network connectivity."
F46,IP30 Enclosure,"The gateway is housed in an IP30 enclosure, providing basic protection against solid objects larger than 2.5mm and no protection against water."
F47,Full-Duplex LoRa Communication,"Supports up to 8 LoRa channels operating in full-duplex mode, enabling simultaneous transmission and reception of data, significantly improving network efficiency and responsiveness in high-density deployments."
F48,Integrated Advanced Cavity Diplexers,"Built-in cavity diplexers provide exceptional out-of-band interference suppression and inherent lightning protection for the LoRa antennas, ensuring reliable and uninterrupted communication even in challenging RF environments."
F49,Automatic Data Recovery,"In Packet Forwarder mode, the gateway buffers LoRa frames, ensuring automatic data recovery in case of Network Server outages, minimizing data loss and maintaining data integrity."
F50,LongFi Technology,"Combines leading wireless technology, LoRaWAN, and the Helium Blockchain for optimized range and long battery life for IoT devices."
F51,Helium Mining Capability,Enables users to mine Helium (HNT) cryptocurrency by connecting devices and validating wireless coverage.
F52,Proof-of-Coverage,"A system where hotspots earn more Helium when within range of other hotspots (at least 300 meters apart), incentivizing network expansion."
F53,Smartphone Setup,Allows for quick and easy setup of the hotspot using a smartphone application.
F54,Mobile App Management,Provides a user-friendly mobile application for managing hotspots and tokens.
F55,27 dBm TX Power,Offers a high transmit power of up to 27 dBm for extended range.
F56,"-139 dBm RX Sensitivity @SF12, BW 125 kHz",Provides high receiver sensitivity for reliable communication even with weak signals.
F57,Built-in Heat Sink,Ensures efficient thermal heat dissipation management for reliable operation.
F58,5V/3A USB-C Power Supply Requirement,The gateway requires a 5V/3A USB-C power supply for operation. This specification is crucial for ensuring proper functionality and avoiding damage to the device.
F59,Single LED Indicator,"The device features a single LED indicator that provides visual feedback on gateway activity, simplifying basic status monitoring."
F60,Pre-installed LoRaWAN Gateway OS,"The gateway comes with a ready-to-use LoRaWAN Gateway OS pre-installed, simplifying initial setup and reducing time to deployment."
F61,RAK2287 Concentrator with SX1302 Chip,"The core of the LoRaWAN functionality is provided by the RAK2287 concentrator, which utilizes the Semtech SX1302 chip for efficient LoRa packet handling and processing."
F62,RAK2287 Pi HAT,"A converter board enabling seamless integration of the RAK2287 module with the Raspberry Pi 4, simplifying hardware assembly and connection."
F63,Built-in Ublox ZOE-M8Q GPS Module,"Provides integrated GPS functionality for precise location data acquisition and timestamping, enhancing the gateway's capabilities."
F64,IP30 Housing,"The gateway is housed in an IP30 enclosure, offering basic protection against solid objects."
F65,Cellular Module Support (RAK7248C),"The RAK7248C variant supports cellular modules (Quectel BG96 or EG95) for NB-IoT, LTE Cat-M1, LTE Cat1, and LTE Cat4 connectivity, expanding deployment options."
F66,PoE Support (RAK7248P),"The RAK7248P variant supports Power over Ethernet, offering flexible power delivery options."
F67,"27 dBm TX Power, -139 dBm RX Sensitivity @SF12, BW 125 KHz","The gateway boasts high transmit power and excellent receive sensitivity, ensuring reliable communication over long distances and in challenging environments."
F68,"Pi-ready 'ID EEPROM', GPIO setup, and device tree automatically configured from vendor information",Streamlines integration with the Raspberry Pi by automatically configuring essential parameters from vendor-provided information.
F69,Support for Open Source LoRaWAN Server,"The gateway is compatible with open-source LoRaWAN servers, providing flexibility in network server selection and management."
F70,RAK2013 Cellular Pi HAT,"Used in the RAK7394C cellular variant, this add-on board enables cellular connectivity via LTE CAT4 and includes an integrated audio codec and amplifier for VoLTE support."
F71,RAK9003 PoE HAT,"Used in the RAK7394P PoE variant, this add-on board provides Power over Ethernet support."
F72,RAK R314 CM4 Carrier Board,"A carrier board designed for the Raspberry Pi Compute Module 4, following the Raspberry Pi 4 form factor. It includes a 40-pin GPIO, supports RAK PoE HAT, and offers multiple USB ports and an Ethernet port."
F73,Built-in Ublox ZOE-M8Q GPS Module (in RAK2287),Integrated GPS module within the RAK2287 concentrator for precise location data acquisition.
F74,Built-in Heat Sink (in RAK2287),A heat sink integrated into the RAK2287 concentrator for improved thermal management and enhanced performance.
F75,Aluminum Casing (RAK2287),The RAK2287 concentrator is housed in an aluminum casing for improved durability and heat dissipation.
F76,Support for Multiple Cellular Modules (Quectel BG96 or EG95),"The cellular variant supports various Quectel cellular modules (BG96 or EG95) for NB-IoT, LTE CAT-M1, LTE CAT1, and LTE CAT4 connectivity."
F77,MiniPCIe Slots (3x),"The RAK7391 features three MiniPCIe slots, providing expansion capabilities for various modules such as additional LoRaWAN concentrators, cellular modules, or other peripherals, significantly enhancing the gateway's functionality and adaptability to different applications."
F78,M.2 B-Key Interface,"The inclusion of an M.2 B-Key interface allows for the integration of various expansion cards, such as NVMe drives for increased storage, 4G/5G cellular modules, or other compatible peripherals, further expanding the RAK7391's capabilities and customization options."
F79,WisBlock IO Connectors (2x),"Two WisBlock IO connectors provide seamless integration with a wide range of WisBlock modules, enabling connection to various sensors, actuators, and industrial protocols (ModBUS, 4-20mA, 0-5V, LIN bus) for diverse industrial and IoT applications."
F80,2.5 GbE RJ45 Port (without PoE),"In addition to a standard 1GbE port with PoE support, the RAK7391 includes a 2.5GbE port, offering high-speed network connectivity for demanding applications where faster data transfer rates are required.  Note that this port does not support PoE."
F81,RAKPiOS,"RAKPiOS, a custom distribution based on Raspberry Pi OS, is pre-installed and optimized for the RAK7391. It includes necessary drivers, security enhancements, helper scripts, and pre-installed Docker, simplifying deployment and management of IoT services."
F82,Ultracapacitors for Backup Power,"Integrated ultracapacitors provide backup power during brief power interruptions, ensuring seamless operation and preventing data loss. This feature allows the system to send notifications or gracefully handle power failures."
F83,Power Supply Monitoring,"The RAK7391 actively monitors its power supply, providing an additional layer of reliability and allowing for proactive management of power-related issues."
F84,Multiple Power Supply Options,"The device offers flexible power supply options, including a DC terminal, a Phoenix terminal, and optional PoE support, providing adaptability to various power sources and installation scenarios."
F85,Fan Interface for CPU Cooling,"A dedicated fan interface allows for active CPU cooling, ensuring stable operation even under heavy load. The fan speed is controlled based on the CPU temperature."
F86,HDMI 2.0 Connector,The inclusion of an HDMI 2.0 connector enables connection to displays for visual monitoring and debugging purposes.
F87,MIPI DSI and CSI-2 Connectors,"The RAK7391 provides MIPI DSI and CSI-2 connectors for connecting displays and cameras respectively, enabling advanced multimedia and visual capabilities."
F88,Raspberry Pi HAT Connector,"A standard Raspberry Pi HAT connector allows for easy integration with a wide range of Raspberry Pi HATs, expanding the gateway's functionality with additional peripherals and capabilities."
F89,RTC with Battery Socket,An onboard real-time clock (RTC) with a battery socket maintains accurate timekeeping even when the device is powered off.
F90,Configuration Jumpers,"Configuration jumpers provide options to enable/disable Wi-Fi, Bluetooth, EEPROM write protection, and the buzzer, allowing for customized configurations."
F91,Onboard Buzzer,An onboard buzzer provides audible feedback for various events and alerts.
F92,Debug UART Port,A dedicated debug UART port facilitates serial communication for debugging and troubleshooting purposes.
F93,LoRa Point-to-Point (P2P) Communication,"Enables direct communication between two LoRa devices without relying on a LoRaWAN network infrastructure. This is useful for creating private, localized LoRa networks or for specific applications where a gateway is not required."
F94,RUI3 (RAKwireless Unified Interface),"A firmware framework that simplifies the development process for the RAK4630. It allows developers to create custom firmware using RUI APIs, enabling direct interaction with sensors and peripherals without the need for an additional microcontroller."
F95,AT Command Set via UART Interface,Provides a simple and standardized way to control and configure the RAK4630 module using AT commands sent through a UART interface. This simplifies integration with various systems and platforms.
F96,TCXO Crystal for LoRa Chip,"Uses a Temperature Compensated Crystal Oscillator (TCXO) to ensure high accuracy and stability of the LoRa frequency, improving the reliability and performance of the LoRa communication."
F97,LoRa PA Boost Mode with 22 dBm Output Power,"Offers a power amplifier boost mode for the LoRa transceiver, increasing the transmission power to 22 dBm. This extends the communication range and improves signal strength in challenging environments."
F98,BLE 5.0 (Tx power -20 to +4 dBm in 4 dB steps),Integrates Bluetooth 5.0 Low Energy (BLE) with adjustable transmission power ranging from -20 dBm to +4 dBm in 4 dB steps. This allows for flexible configuration of BLE communication range and power consumption.
F99,Serial Wire Debug (SWD) Interface,Provides a debugging interface for in-circuit debugging and programming of the module's microcontroller. This is essential for development and troubleshooting.
F100,MHF4 IPEX Connector,"An MHF4 IPEX connector allows for easy connection of external antennas, providing flexibility in antenna selection and optimization for various deployment scenarios and frequency bands."
F101,RF Pinout for Custom Antenna,"Provides RF pinouts for direct connection of custom antennas, offering greater design flexibility and customization options for specific antenna requirements."
F102,RUI3 (RAKwireless Unified Interface) Firmware,"The module runs on RUI3 firmware, an Arduino-compatible interface that simplifies custom firmware development and allows for standalone operation without the need for an additional MCU."
F103,Ultra-low-power consumption of ~5 μA in sleep mode (ESP8684 powered down),"Achieves ultra-low power consumption of approximately 5 microamps in sleep mode when the ESP8684 co-processor is powered down, extending battery life in battery-powered applications."
F104,ATECC606A Cryptographic Co-processor,"Integrated ATECC606A cryptographic co-processor provides secure, hardware-based key storage for enhanced security and protection against unauthorized access or data breaches. This significantly improves the security posture of the device and its communication."
F105,Feather Compatible,"The board is designed to be compatible with the Feather form factor, allowing for easy integration with other Feather-compatible components and shields, simplifying prototyping and development."
F106,20 dBm LoRa TX Power,"The board supports a LoRa TX power of up to 20 dBm, enabling extended range and reliable communication in various environments."
F107,Built-in 100 mA LiPoly Charging Port,"Includes a built-in charging port for 100 mA LiPoly batteries, providing a convenient power source for portable and battery-powered applications."
F108,Programmable Built-in LED,"A programmable built-in LED allows for customized visual feedback and status indication, enhancing user experience and troubleshooting capabilities."
F109,6 x 12-bit Analog Inputs,"Provides six 12-bit analog inputs for connecting various sensors and acquiring diverse analog data, expanding the board's sensing capabilities."
F110,1 x 10-bit Analog Output (DAC),"Features a 10-bit digital-to-analog converter (DAC) for generating analog signals, enabling control of analog devices or generating custom waveforms."
F111,Up to 20 GPIO Pins,Offers up to 20 general-purpose input/output (GPIO) pins for connecting various peripherals and expanding the board's functionality.
F112,"Hardware Serial, I2C, SPI Support","Provides dedicated hardware support for serial communication (UART), I2C, and SPI protocols, enabling efficient and high-speed communication with various devices."
F113,PWM Outputs on All Pins,"All pins support Pulse Width Modulation (PWM) output, enabling precise control of motors, LEDs, and other devices requiring variable voltage or current."
F114,32.768 kHz Crystal for Clock Generation & RTC,Integrated 32.768 kHz crystal provides a precise clock source for real-time clock (RTC) functionality and accurate timing in applications requiring precise timekeeping.
F115,3.3V Regulator with 500 mA Peak Current Output,"Onboard 3.3V regulator capable of supplying up to 500 mA peak current, providing sufficient power for various peripherals and components."
F116,USB Native Support with Bootloader and Serial Port Debugging,"Supports USB native communication, including bootloader functionality for easy firmware updates and serial port debugging for development and troubleshooting."
F117,Four (4) Mounting Holes,Four mounting holes provide secure and stable attachment to various surfaces or enclosures.
F118,Reset Button,A dedicated reset button allows for easy system reset and recovery.
F119,RUI3 (RAKwireless Unified Interface) API,"Provides a standardized API for interacting with the RAK3272S, simplifying firmware development and integration with other devices and platforms.  This allows for easier customization and control of the board's functionalities."
F120,Arduino IDE Support via RUI3,"Allows developers to utilize the familiar Arduino IDE environment for programming the RAK3272S, leveraging the extensive Arduino libraries and simplifying the development process."
F121,Dual UART Interfaces,"The board provides two UART interfaces (UART1 and UART2/LPUART1), offering flexibility in connecting to different devices and enabling simultaneous communication for various purposes, such as AT commands and firmware updates."
F122,I2C and SPI Interfaces,"Provides I2C and SPI interfaces for connecting to various sensors and peripherals, expanding the board's capabilities and enabling diverse applications."
F123,Ultra-low power consumption of 1.69 µA in sleep mode,"Significantly extends battery life in battery-powered applications, making it suitable for long-term deployments in remote locations or energy-constrained environments."
F124,"LoRaWAN 1.0.3 Compliance (Classes A, B, and C)","Ensures interoperability with a wide range of LoRaWAN networks and gateways, providing broad compatibility and access to various network services."
F125,2.54 mm Headers,"Provides standard 2.54 mm headers for easy connection to breadboards and other prototyping components, simplifying the integration process and reducing development time."
F126,STM32WLE5CC Chip,"Utilizes the STM32WLE5CC microcontroller, a powerful and energy-efficient chip that provides the necessary processing power and features for LoRaWAN and LoRa P2P communication."
F127,SWD Programming Interface,"Allows for debugging and firmware programming using a standard SWD interface, providing a convenient method for development and troubleshooting."
F128,SMA or IPEX Antenna Connector,"Offers flexibility in antenna selection, allowing users to choose the most suitable antenna for their specific application and environment."
F129,Module Size: 25.4 mm x 32.3 mm,"Compact size allows for easy integration into various devices and applications, minimizing space requirements and maximizing design flexibility."
F130,Temperature Range: -20°C ~ 85°C,"Ensures reliable operation in a wide range of environmental conditions, making it suitable for both indoor and outdoor deployments."
F131,Supply Voltage: 2.0V ~ 3.6V,"Supports a wide range of supply voltages, providing flexibility in power source selection and simplifying integration into various systems."
F132,Ambiq Apollo3 Blue AMA3B1KK-KBR-B0 SoC MCU,"The RAK11721 utilizes the Ambiq Apollo3 Blue AMA3B1KK-KBR-B0 System-on-a-Chip microcontroller unit, offering a powerful and energy-efficient processing core for complex IoT applications. This allows for advanced data processing and control capabilities within the device itself, reducing reliance on external processing units."
F133,Semtech SX1262 LoRa Transceiver,"The board incorporates the Semtech SX1262, a highly sensitive and efficient LoRa transceiver, enabling long-range, low-power wireless communication. This ensures reliable data transmission over extended distances with minimal power consumption."
F134,BLE Functionality,"The integrated Ambiq Apollo3 Blue chip provides Bluetooth Low Energy (BLE) capabilities, enabling short-range wireless communication for tasks such as configuration, firmware updates, or sensor data transfer to nearby devices."
F135,RUI3 (RAKwireless Unified Interface V3),"The RAK11721 uses RUI3 firmware, a unified interface from RAKwireless that simplifies development and provides a consistent API across various RAKwireless products. This simplifies the development process and allows for easier integration with other RAKwireless devices."
F136,Ultra-low power consumption of 2.37 µA in sleep mode,"The RAK11721 boasts an extremely low power consumption of 2.37 µA in sleep mode, extending battery life significantly for long-term deployments in battery-powered applications. This is crucial for applications where battery replacement is difficult or impractical."
F137,Supply Voltage: 1.8 V ~ 3.6 V,The wide operating voltage range of 1.8V to 3.6V provides flexibility in power supply options and compatibility with various power sources.
F138,Temperature Range: -40°C ~ 85°C,"The RAK11721 operates reliably within a wide temperature range of -40°C to 85°C, making it suitable for deployment in diverse environmental conditions."
F139,Onboard Battery Disconnect Switch,"A built-in switch allows for easy disconnection of the battery, improving safety and power management."
F140,Onboard GNSS Location Module,Integrated GNSS module provides precise location data for the Meshtastic node.
F141,Onboard Acceleration Sensor,An integrated acceleration sensor allows for motion detection and other sensor-based applications within the Meshtastic network.
F142,nRF52840 MCU,Utilizes the powerful nRF52840 microcontroller for high performance and low power consumption.
F143,Onboard User Button,Provides a simple user interface for basic interaction with the Meshtastic node.
F144,3600 mAh Built-in Battery,"A high-capacity 3600 mAh battery provides extended operational time for the WisMesh Pocket, minimizing the need for frequent recharging and ensuring reliable connectivity in extended deployments."
F145,2 dBi Rubber Antenna with Plug-and-Play Upgrade,"The device includes a 2 dBi rubber antenna for basic operation.  The design allows for easy upgrades to higher-gain antennas via a plug-and-play mechanism, enhancing range and signal strength as needed."
F146,WisBlock Solution based on nRF52840,"The WisMesh Pocket leverages the efficient WisBlock platform built around the nRF52840 microcontroller, a highly regarded choice within the Meshtastic community known for its power efficiency and performance."
F147,1.3-inch OLED Display,"A built-in 1.3-inch OLED display provides visual feedback on the device's status, network connectivity, and other relevant information, enhancing user experience and troubleshooting capabilities."
F148,On-PCB BLE Antenna,"An integrated BLE antenna on the PCB saves space and simplifies the design, making the device more compact and easier to integrate into various applications."
F149,IPEX Connector for Internal or External LoRa Antenna,"An IPEX connector allows for flexible antenna options, enabling users to choose between an internal or external LoRa antenna based on their specific needs and application requirements."
F150,User Button and Firmware Controlled LEDs,"A user button and firmware-controlled LEDs provide simple user interaction and visual indication of device status, simplifying operation and troubleshooting."
F151,One WisBlock Compatible Sensor Slot,"A WisBlock compatible sensor slot allows for easy expansion and integration of additional sensors, such as a GNSS location module (e.g., RAK12500), to enhance the device's functionality and data acquisition capabilities."
F152,TFT Display with On-Screen Keyboard,A built-in TFT display and on-screen keyboard enable users to send and receive Meshtastic messages directly on the device without needing a smartphone or other external device.
F153,Solar-powered Operation,"The device is powered by solar energy, enabling continuous operation without the need for a wired power connection. This eliminates the need for frequent battery changes or access to a power grid, making it suitable for remote deployments."
F154,Waterproof Enclosure,"The device is housed in a waterproof enclosure, protecting its internal components from the elements and ensuring reliable operation in various weather conditions. This enhances its durability and longevity in outdoor environments."
F155,High-Performance Built-in Antenna,"The repeater incorporates a high-performance antenna integrated into its design, optimizing signal transmission and reception. This eliminates the need for external antennas and simplifies deployment."
F156,WisBlock Modular Design,"The RAK19001 utilizes a modular WisBlock design, allowing for flexible combination of WisBlock Core modules and various WisBlock sensors to create highly customized IoT devices. This modularity simplifies prototyping, expansion, and maintenance."
F157,High-Speed Interconnection Connectors,The base board employs high-speed board-to-board connectors to ensure signal integrity for all connected WisBlock modules. This robust connection method guarantees reliable data transmission even in environments with vibrations.
F158,Multiple Module Slots,"The RAK19001 provides one slot for a WisBlock Core module, two IO slots, and six sensor slots (A-F) for connecting various WisBlock modules, offering extensive expandability and customization options."
F159,Exposed Input/Output Pins,"All key input/output pins of the WisBlock Core are exposed via headers, providing direct access for connecting external components and peripherals."
F160,Multiple Communication Bus Access,"The board provides access to various communication buses via headers, including I2C, SPI, UART, and USB, enabling seamless integration with a wide range of sensors and devices."
F161,User-Defined Push Button Switch,A user-defined push button switch is integrated for custom user input and control functions within the application.
F162,Power Supply Control by WisBlock Core,The power supply for the WisBlock modules can be controlled by the WisBlock Core module to optimize power consumption and extend battery life.
F163,Rechargeable/Non-Rechargeable Battery Selection,A slide switch allows for easy selection between using a rechargeable or non-rechargeable battery.
F164,Two User-Definable LEDs,Two user-definable LEDs are included for providing visual feedback or status indication within the application.
F165,Power Supply/Charging Indicator LED,An LED indicates the power supply status and charging progress.
F166,WisBlock Modular Design Support,"The RAK19003 supports the WisBlock modular system, allowing for easy connection and integration of various WisBlock Core and WisBlock modules to create customized IoT solutions. This modularity simplifies development, reduces complexity, and enables rapid prototyping and deployment."
F167,High-Speed Board-to-Board Connectors,"The board utilizes high-speed board-to-board connectors to ensure reliable and secure interconnection between the base board and WisBlock modules. This design guarantees signal integrity and robust data transmission, even in environments with vibrations."
F168,Electronic Load Switch for Power Control,"An electronic load switch allows for controlled power distribution to connected WisBlock modules. This feature enables power management and optimization, enhancing battery life and overall system efficiency."
F169,3.7V Rechargeable Battery Connector,"The board includes a connector for a 3.7V rechargeable Li-ion battery, enabling portable and self-powered applications. This allows for deployment in locations without readily available power sources."
F170,5V Solar Panel Connector,"A connector for a 5V solar panel allows for solar-powered operation, extending the operational lifespan and reducing reliance on external power sources, particularly beneficial for remote deployments."
F171,Compact Size (30 x 35 mm),"The small form factor of 30 x 35 mm allows for integration into compact enclosures and spaces, making it suitable for applications with size constraints."
F172,"Two 2.54 mm Pitch Headers with BOOT, I2C, and UART Pins","Provides additional I/O connectivity through two 2.54 mm pitch headers, offering flexibility for custom integrations and expansions.  These headers expose BOOT, I2C, and UART pins for various communication protocols."
F173,"Four 4-pin header with BOOT, I2C, and UART pins accessible with solder contacts","Provides four 4-pin headers with BOOT, I2C, and UART pins accessible via solder contacts for additional connectivity and customization options."
F174,USB-C Connector for Programming and Debugging,"Provides a USB-C connector for convenient programming and debugging of the WisBlock Core module, simplifying development and troubleshooting."
F175,Onboard LiPo Battery Charger,"Integrates a dedicated chip for charging LiPo rechargeable batteries, providing a built-in solution for battery management and power supply."
F176,Solar Panel Connector for Battery Charging,"Offers a connector for connecting a solar panel to charge the LiPo battery, enabling sustainable and off-grid operation."
F177,LED Indicator for Charging Status,"Includes an LED to visually indicate the charging status of the LiPo battery, providing clear feedback on power levels."
F178,Two User-Configurable LEDs,Provides two LEDs that can be configured by the user for various visual indications within the application.
F179,Compact Size (30mm x 20mm),Features a small form factor (30mm x 20mm) for space-constrained applications and seamless integration into WisBlock systems.
F180,LiPo Battery Charging,The module includes a built-in charger capable of recharging a connected LiPo battery. This allows for extended operation without a constant power source.
F181,Solar Panel Charging,"The module supports charging the LiPo battery via a connected solar panel, enabling self-powered operation in suitable environments."
F182,Charging LED Indicator,"An LED provides visual feedback on the charging status of the LiPo battery, indicating whether charging is in progress or complete."
F183,Reset Push Button,A physical reset button allows for manual system resets if needed.
F184,30mm x 20mm Module Size,The compact size of the module (30mm x 20mm) allows for easy integration into space-constrained applications.
F185,POE Power Module (Power Supply Only),"This module provides power via Power over Ethernet (PoE), but does not support Ethernet data communication. It converts the PoE input voltage (36V-57V) to a regulated 5V output, suitable for powering other WisBlock modules. This eliminates the need for a separate power supply, simplifying system design and deployment."
F186,36V to 57V Input Voltage Range,"The module accepts a wide input voltage range of 36V to 57V, ensuring compatibility with various PoE power sources."
F187,Short-Circuit and Over-Temperature Protection,Built-in protection mechanisms safeguard the module and connected devices from damage caused by short circuits or excessive temperatures.
F188,Ultra-low power consumption of less than 2.0 uA in sleep mode,"The module consumes significantly less power (less than 2.0 µA) while in sleep mode, extending battery life for long-term deployments in battery-powered applications."
F189,LoRa PA Boost mode with 22 dBm output power,"The module supports a LoRa PA Boost mode, enabling a higher output power of 22 dBm for extended range and improved signal strength in LoRaWAN communication."
F190,Temperature range: -70°C to +85°C,"The module operates reliably within a wide temperature range from -70°C to +85°C, suitable for various environmental conditions."
F191,Supply voltage: 2.0 ~ 3.6 V,"The module supports a wide range of supply voltages from 2.0V to 3.6V, offering flexibility in power supply options."
F192,LoRa Point-to-Point Communication,"In addition to standard LoRaWAN communication, the module supports point-to-point communication for direct device-to-device communication."
F193,Module size: 20 mm x 30 mm,"The module has a compact size of 20mm x 30mm, making it suitable for space-constrained applications."
