Product_ID,Product_Name,Product_Model,Product_Line,Product_Subline,Hardware/Software,Deployment_Environment,Description_And_Application,Connectivity,Region Support,Notes
P11,RAK7248 WisGate Developer D4H Gateway,RAK7248/RAK7248C/RAK7248P,Wisgate,N/A,Hardware,Both,"The RAK7248 WisGate Developer D4H is a versatile LoRaWAN gateway built upon a Raspberry Pi 4, designed for prototyping, proof-of-concept demonstrations, and evaluation.  It features a Semtech SX1302 LoRa concentrator, enabling robust long-range connectivity for various IoT applications.  The RAK7248C variant includes cellular connectivity (NB-IoT/LTE Cat-M1/LTE Cat1/LTE Cat4), while the RAK7248P offers PoE support. Its developer-friendly nature and pre-installed LoRaWAN Gateway OS simplify setup, even for users with limited technical expertise.  The gateway's adaptability makes it suitable for diverse industries and applications, including smart grids (monitoring energy consumption and distribution), precision agriculture (remote livestock monitoring, irrigation control), and various other IoT enterprise solutions requiring long-range, low-power communication.","LoRaWAN, Wi-Fi, Ethernet, Cellular (RAK7248C variant), GPS","RU864, IN865, EU868, US915, AU915, KR920, AS923","The RAK7248 requires a 5V/3A USB-C power supply (not included).  It features a built-in Ublox ZOE-M8Q GPS module, a heat sink for improved thermal management, and an IP30 enclosure.  The gateway supports various LoRaWAN servers, including TTN and ChirpStack.  It comes with a pre-installed firmware and SD card.  Certifications include ANATEL, CE, FCC, ISED, IMDA, KC, RCM, SRRC, and Ukraine certifications.  The device has one LED indicator for visual monitoring of activity."
P12,RAK7271/RAK7371 WisGate Developer Base,RAK7271/RAK7371,Wisgate,N/A,Hardware,Both,"The RAK7271/RAK7371 WisGate Developer Base is a versatile LoRaWAN gateway designed for easy integration with desktop, mobile, or embedded systems.  Its primary function is to enable RAK2287 or RAK5146 mPCIe LoRa concentrator modules to operate as USB Type-C pluggable devices, adding LoRaWAN gateway capabilities to existing hardware. This makes it ideal for rapid prototyping, testing, and mobile deployments such as drive testing or coverage evaluation.  The device is cost-effective and provides a complete LoRa gateway solution, supporting up to 10 programmable parallel demodulation paths. Its suitability extends to various applications requiring quick integration with existing infrastructure or on-the-go functionality, including but not limited to research and development, proof-of-concept projects, and mobile network testing.","LoRaWAN, USB 2.0","EU433, CN470, IN865, EU868, US915, AU915, KR920, AS923","The RAK7271 uses the RAK2287 concentrator, while the RAK7371 uses the RAK5146 concentrator. Both support 8 uplink and 1 downlink channels.  The device is powered via a USB 2.0 Type-C interface, requiring a 5V power supply. It includes a 2.3 dBi LoRa antenna and a USB Type-C to Type-A cable.  Certified with CE, FCC, REACH, and RoHS."
P13,RAK7394 WisGate Developer CM4,RAK7394/RAK7394C/RAK7394P,Wisgate,N/A,Hardware,Both,"The RAK7394 WisGate Developer CM4 is a versatile LoRaWAN gateway available in cellular (RAK7394C) and PoE (RAK7394P) variants.  It combines a RAKR314 CM4 Carrier Board, Raspberry Pi Compute Module 4 (CM4), RAK2287 Concentrator, and RAK2287 Pi HAT, providing a powerful platform for prototyping and developing LoRaWAN applications. Its modular design allows for easy integration with various cellular modules and PoE support, offering flexibility in deployment scenarios. The RAK2287 concentrator, featuring the Semtech SX1302 chip, enables efficient handling of multiple LoRa packets simultaneously.  This gateway is ideal for developers and businesses seeking a robust and adaptable solution for building and testing LoRaWAN networks.  Applications span various sectors, including smart agriculture (monitoring environmental conditions, livestock tracking), smart cities (infrastructure monitoring, environmental sensing), and industrial IoT (asset tracking, predictive maintenance). The integrated Raspberry Pi CM4 allows for extensive customization and integration with other IoT services.","LoRaWAN, Ethernet, Cellular (RAK7394C), PoE (RAK7394P), GPS","RU864, IN865, EU868, US915, AU915, KR920, AS923","The RAK7394 features a built-in Ublox ZOE-M8Q GPS module and a heat sink for improved performance and thermal management. It supports 5V/3A power supply via USB-C and PoE (RAK7394P variant).  The IP30 housing provides basic protection.  The gateway includes a ready-to-use LoRaWAN Gateway OS and supports open-source LoRaWAN servers.  The cellular variant (RAK7394C) supports NB-IoT, LTE CAT-M1, LTE CAT1, and LTE CAT4. The SD card can be used for additional storage or as a boot device for CM4 Lite models."
P14,RAKR314 CM4 Base Board,RAKR314,Wisgate,N/A,Hardware,Both,"The RAKR314 CM4 Base Board is a carrier board designed for the Raspberry Pi Compute Module 4 (CM4), maintaining the Raspberry Pi 4 form factor.  It serves as a versatile platform for various IoT applications by providing a robust foundation for the CM4's capabilities.  Its key features include extensive connectivity options (Ethernet, multiple USB ports, and a 40-pin GPIO header), PoE support via the RAK PoE HAT, and an SD card slot for additional storage or booting non-eMMC CM4 modules.  This makes it suitable for diverse projects requiring a compact, expandable, and easily integrated solution.  The RAKR314's compatibility with existing Raspberry Pi HATs expands its functionality, allowing for customization and integration with various sensors and communication modules.  Applications range from simple data logging and control systems to more complex IoT gateways and edge computing deployments.","Ethernet, USB 2.0, USB 3.0, USB Type-C","EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAKR314 includes an enclosure kit for easy assembly.  It supports both CM4 modules with and without eMMC storage.  Power is supplied via a USB-C 5V DC connector, or via PoE using the RAK PoE HAT.  The board features a 40-pin GPIO header for connecting various HATs and peripherals.  The included enclosure has pre-drilled holes for antennas, which can be covered with provided rubber caps if not needed."
P15,RAK7391 WisGate Connect,RAK7391,Wisgate,N/A,Hardware,Both,"The RAK7391 WisGate Connect is a versatile Raspberry Pi CM4-based gateway designed to support various radio and WisBlock modules, serving as a multi-functional hub for diverse IoT applications.  Its extensive interface options, including HDMI, Ethernet (1Gb with optional PoE, 2.5Gb without PoE), USB (2.0 and 3.0), mPCIe, CSI, DSI, M.2, WisBlock, and Raspberry Pi HAT, cater to developers' diverse needs.  It functions as a robust LoRaWAN gateway, supporting up to four separate modules for configurations like 16-channel sub-GHz and 2.4 GHz LoRaWAN operation on a single device.  Its adaptability extends to industrial settings, enabling integration with WisBlock modules for ModBUS, 4-20 mA, 0-5 V, and general I/O protocols, facilitating industrial automation, remote equipment monitoring, and predictive maintenance.  The RAK7391's flexible power options (DC, Phoenix terminal, optional PoE) and ultracapacitor backup power ensure reliable operation in various environments.  Its use as a development platform for new products further enhances its versatility.","LoRaWAN, Ethernet, USB, PCIe, Wi-Fi (optional), Bluetooth (optional), Cellular (optional)","EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK7391 offers indoor and outdoor enclosure options with varying levels of accessibility to connectors.  It supports a wide range of CM4 modules and features an onboard RTC with battery backup, allowing for CM4 wake-up functionality.  Power supply options include DC input (10-28V), Phoenix terminal input (10-28V), and optional PoE (802.3at or 802.3bt).  The device includes a fan interface for CPU cooling, controlled by CPU temperature.  FCC and ISED certifications are mentioned."
P16,RAK3172 WisDuo LoRaWAN Module,RAK3172/RAK3172-T,Wisduo,N/A,Hardware,Both,"The RAK3172 WisDuo LoRaWAN Module is a low-power, long-range transceiver module ideal for various IoT applications requiring long-range wireless data transmission.  Based on the STM32WLE5CC chip, it offers a compact and easy-to-use solution compliant with LoRaWAN 1.0.3 specifications (Classes A, B, and C).  Its compatibility with popular LoRaWAN server platforms like The Things Network, Chirpstack, and Actility ensures seamless integration into existing infrastructure.  The module also supports LoRa Point-to-Point (P2P) communication, enabling the creation of custom long-range LoRa networks.  Its low-power design makes it suitable for battery-powered applications in diverse sectors, including smart agriculture, industrial automation, and environmental monitoring, where it can connect various sensors for data collection and transmission over long distances.",LoRaWAN,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK3172 comes in two certification variants: CE & UKCA, and FCC, IC & RCM.  It features ultra-low power consumption (1.69 μA in sleep mode) and operates within a temperature range of -20°C to 85°C (RAK3172) or -40°C to 85°C (RAK3172-T).  Configuration and operation are managed via AT commands through a UART interface.  The module boasts 256 kbytes of flash memory with ECC and 64 kbytes of RAM."
P17,RAK3172-SiP WisDuo LPWAN SiP,RAK3172-SiP/RAK3172LP-SiP,Wisduo,N/A,Hardware,Both,"The RAK3172-SiP (and its variant, RAK3172LP-SiP) are low-power, long-range LoRaWAN transceiver modules based on the STM32WLE5JC SoC.  These compact System-in-Package (SiP) modules offer a versatile solution for various long-range wireless data applications, supporting LoRaWAN Classes A, B, and C, and enabling connectivity to popular LoRaWAN server platforms like The Things Network, Helium, Chirpstack, and Actility.  Their small size and low power consumption make them ideal for battery-powered applications in diverse sectors.  In asset tracking, they enable real-time location monitoring of valuable goods.  Within smart agriculture, they facilitate remote monitoring of environmental conditions and livestock.  Industrial applications include remote sensor data acquisition for predictive maintenance and automation.  The modules also support LoRa point-to-point communication for custom long-range networks.",LoRaWAN,"IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK3172-SiP and RAK3172LP-SiP differ in their RF output paths (RFO_HP and RFO_LP respectively) to optimize current consumption.  They require users to define and set up their own unique LoRaWAN credentials. The modules operate on a supply voltage of 2.0V to 3.6V and have an operating temperature range of -40°C to 85°C.  They are configured using AT commands via a UART interface or custom firmware using the RUI3 API. The module size is 12mm x 12mm x 1.22mm and comes in an LGA73 package.
P18,RAK4630 WisDuo LoRaWAN+BLE Module,RAK4630,Wisduo,N/A,Hardware,Both,"The RAK4630 WisDuo LoRaWAN+BLE Module is a low-power, long-range transceiver module designed for diverse IoT applications.  Its core functionality combines LoRaWAN and Bluetooth Low Energy (BLE) communication, enabling seamless integration into various networks and scenarios.  The module's dual RF capabilities make it suitable for home automation, sensor networks, building automation, and other IoT network deployments where both long-range and short-range communication are required.  Its versatility allows for use in applications ranging from smart homes and industrial automation to asset tracking and environmental monitoring. The RAK4630 simplifies development with its RUI3 firmware, enabling custom firmware creation via RUI APIs and direct interfacing with sensors and peripherals without needing an additional MCU.  It also supports communication with external MCUs via AT commands.","LoRaWAN, BLE","IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK4630 operates within a temperature range of -40°C to +85°C and requires a supply voltage of 2.0V to 3.6V.  It features a TCXO crystal for the LoRa chip and offers various IO ports including UART, I2C, GPIO, and USB.  The module is compact, measuring 15mm x 23mm x 3mm.  It supports LoRaWAN Classes A, B, and C, and also facilitates LoRa point-to-point communication.  A Serial Wire Debug (SWD) interface is included for development and debugging purposes."
P19,RAK11300 WisDuo LPWAN Module,RAK11300,Wisduo,N/A,Hardware,Both,"The RAK11300 WisDuo LPWAN Module is a compact, low-power solution based on the Raspberry Pi RP2040 chip and Semtech SX1262 RF transceiver, designed for long-range wireless data applications.  Compliant with LoRaWAN 1.0.2 specifications (Classes A and C), it offers seamless connectivity to various LoRaWAN server platforms like TheThingsNetwork (TTN), ChirpStack, and Helium. Its small form factor and ease of use make it suitable for a wide range of applications in diverse industries, including smart agriculture (remote sensing, precision irrigation), industrial automation (remote monitoring, predictive maintenance), and environmental monitoring (air quality, water level).  The module's long-range capabilities (greater than 15km with optimized antenna) enable efficient data transmission across extended areas, making it ideal for deployments requiring wide-area coverage.",LoRaWAN,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923",The RAK11300 operates on a supply voltage of 2.0V to 3.6V and has an operating temperature range of -20°C to 85°C.  It supports both OTAA and ABP activation methods for LoRaWAN networks. The module utilizes the ARM Cortex-M0+ Dual Core 133 MHz CPU and 246 kbytes of RAM.
P20,RAK11720 WisDuo LPWAN+BLE Module,RAK11720,Wisduo,N/A,Hardware,Both,"The RAK11720 WisDuo LPWAN+BLE Module is a low-power, long-range LoRaWAN module designed for diverse IoT applications.  Its core functionality centers around providing robust and reliable long-range wireless connectivity combined with Bluetooth Low Energy capabilities. This dual-communication approach makes it ideal for various scenarios, including home automation, where it can connect smart devices and sensors; sensor networks, enabling remote monitoring and data collection; building automation, facilitating efficient control and management of building systems; and other general IoT network applications requiring both long-range and short-range communication. The module's ease of use, facilitated by its RUI3-based firmware and AT command set, simplifies integration into existing systems.  Its compact design and low power consumption make it suitable for battery-powered applications.","LoRaWAN, BLE","EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK11720 module comes in two variants: one with an MHF4 IPEX connector for external antennas and another with RF pinouts for connecting custom antennas.  It supports LoRaWAN 1.0.3 specifications (Classes A, B, and C) and also enables LoRa point-to-point communication. The module operates on a supply voltage of 1.8V to 3.6V and has an operating temperature range of -40°C to 85°C.  It features an ARM Cortex-M4F processor with 1MB Flash and 348KB SRAM."
P21,RAK11160 WisDuo LPWAN+BLE+Wi-Fi Module,RAK11160,Wisduo,N/A,Hardware,Both,"The RAK11160 WisDuo LPWAN+BLE+Wi-Fi Module is a low-power, long-range LoRaWAN module designed for diverse IoT applications.  Its core functionality centers around providing robust and versatile wireless connectivity using LoRaWAN, Bluetooth 5.0 (BLE), and Wi-Fi. This multi-protocol capability makes it suitable for a wide range of applications, including home automation, where it can connect various smart devices; sensor networks, enabling remote monitoring and data collection; building automation, facilitating efficient control and management of building systems; and other general IoT network applications requiring seamless communication between devices.  The module's ability to operate standalone with custom firmware development via Arduino-compatible RUI3 APIs or be interfaced with an external host MCU using AT commands provides flexibility for various development scenarios. Its compact design and low power consumption make it ideal for battery-powered applications.","LoRaWAN, BLE, Wi-Fi","EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK11160 module is available in two variants: one with an MHF4 IPEX connector for external antenna integration and another without the connector but with RF pinouts for custom antenna connection.  It operates on a supply voltage of 1.8V to 3.6V and has an operating temperature range of -40°C to 85°C.  The module supports LoRaWAN 1.0.4 specifications (Classes A, B, and C) and LoRa point-to-point communication.  It features a STM32WLE5 ARM 32-bit Cortex-M4 MCU and an Espressif ESP8684 co-processor."
P22,RAK3244 BastWAN Breakout Board,RAK3244,Wisduo,N/A,Hardware,Both,"The RAK3244 BastWAN Breakout Board is a Feather-compatible board built around the RAK4260 module, featuring the ATSAMR34J18B SiP.  Its primary function is to provide a versatile and secure platform for LoRaWAN and LoRa P2P applications.  The integrated ATECC606A cryptographic co-processor enhances security, making it suitable for various IoT applications requiring robust data protection. Its low-power consumption and long-range communication capabilities make it ideal for home automation, sensor networks, building automation, and personal area networks, including health and fitness monitoring.  The board's compact size and ease of integration facilitate deployment in diverse environments and applications requiring secure, reliable, and long-range communication.","LoRaWAN, LoRa P2P","EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The RAK3244 features a built-in 100mA LiPoly charging port with an LED indicator, multiple GPIO pins, and various communication interfaces (I2C, SPI, UART). It offers flexible power options and supports USB native debugging.  The board weighs only 5 grams and has four mounting holes for secure attachment."
